house_price,listing_price,price_development,number_of_rooms,living_area,secondary_area,plot_area,year_built,operating_cost,sale_date,neighborhood,latitude,longitude,secondary_area_missing,month,year
2945000,2995000,-50000,4,116,116,713,1942,74591,2024-09-09,Kattarp,55.5794798,13.044478470045,0,9,2024
5500000,5795000,-295000,5,123,33,807,1962,49190,2024-09-08,Bunkeflostrand,55.5585886,12.9238536443036,0,9,2024
4900000,4995000,-95000,4,127,0,566,2008,35727,2024-09-07,Kristineberg,55.54203405,13.07577535,1,9,2024
4550000,4795000,-245000,5,104,38,633,1935,47800,2024-09-07,Husie,55.5863159,13.0859913,0,9,2024
4450000,4695000,-245000,3,77,45,469,1898,47757,2024-09-06,Sibbarp,55.5686005,12.9188947,0,9,2024
8295000,8295000,0,5,156,0,625,2006,42500,2024-09-06,Bunkeflostrand,55.56134275,12.9253265685948,1,9,2024
2880000,2795000,85000,4,82,75,872,1934,24609,2024-09-05,Käglinge,55.5595626,13.0602548,0,9,2024
4315000,4295000,20000,4,112,56,1007,1930,37900,2024-09-05,Husie,55.5838864,13.0663350586956,0,9,2024
5595000,5595000,0,6,158,0,569,1974,30900,2024-09-04,Kulladal,57.67772285,11.8929514554979,1,9,2024
5300000,5495000,-195000,4,124,90,970,1964,46230,2024-09-04,Djupadal,55.57662395,12.9715872085293,0,9,2024
8650000,7995000,655000,6,118,148,621,1972,70592,2024-09-04,Hyllieby,55.5674305,12.9607299,0,9,2024
2670000,2795000,-125000,5,137,0,223,1976,57978,2024-09-03,Kyrkby,55.54728975,13.092206034157,1,9,2024
5335000,5195000,140000,5,97,47,800,1925,51004,2024-09-02,Valdemarsro,55.61095145,13.07471265,0,9,2024
4800000,4995000,-195000,5,142,0,680,1989,39427,2024-09-02,Käglinge,55.53187635,13.0796228656613,1,9,2024
3995000,3995000,0,3,107,60,408,1925,58673,2024-09-02,Skrävlinge,55.51421935,13.23448305,0,9,2024
4150000,4895000,-745000,5,119,90,1010,1967,55800,2024-09-02,Husie,55.58459125,13.0782472009361,0,9,2024
13900000,15500000,-1600000,7,203,88,1095,1939,46300,2024-09-02,Sjösida,55.5925406,12.9547765182769,0,9,2024
4750000,5495000,-745000,6,117,0,714,1931,28384,2024-08-31,Klagshamn,55.5303822,12.9219066,1,8,2024
5000000,6250000,-1250000,7,182,135,622,1967,43488,2024-08-30,Eriksfält,57.6571432,11.9888386,0,8,2024
2525000,2695000,-170000,3,73,65,748,1960,51620,2024-08-30,Kyrkby,55.55342325,13.1039706081988,0,8,2024
6000000,5695000,305000,5,142,19,776,1998,38197,2024-08-30,Skumparp,55.5372407,12.9632802,0,8,2024
11100000,11295000,-195000,5,152,14,126,2004,47208,2024-08-30,Hamnen,59.6020225,16.6080862,0,8,2024
4000000,4195000,-195000,4,114,0,501,1989,30973,2024-08-29,Kristineberg,55.54175945,13.0819924178377,1,8,2024
4100000,4495000,-395000,4,110,0,470,1909,32207,2024-08-29,Tygelsjö,55.5169132,13.0044825,1,8,2024
2600000,2895000,-295000,5,103,0,519,1965,44060,2024-08-29,Kyrkby,55.5463743,13.0998233,1,8,2024
7100000,7250000,-150000,4,100,42,525,1928,48284,2024-08-29,Limhamn,57.677039,11.98852715,0,8,2024
